Clustered 140 primary and secondary data
4
Xlocation
Ylocation
low limit value
upper limit value
   39.50000  18.50000   0.06000   0.06000
    5.50000   1.50000   0.06000   0.06000
   38.50000   5.50000   0.08000   0.08000
   20.50000   1.50000   0.09000   0.09000
   27.50000  14.50000   0.09000   0.09000
   40.50000  21.50000   0.10000   0.10000
   15.50000   3.50000   0.10000   0.10000
    6.50000  25.50000   0.11000   0.11000
   38.50000  21.50000   0.11000   0.11000
   23.50000  18.50000   0.16000   0.16000
    0.50000  25.50000   0.16000   0.16000
    9.50000  19.50000   0.17000   0.17000
   36.50000  43.50000   0.18000   0.18000
   21.50000   5.50000   0.19000   0.19000
   13.50000   3.50000   0.19000   0.19000
   40.50000   7.50000   0.19000   0.19000
   31.50000  17.50000   0.22000   0.22000
   46.50000  40.50000   0.24000   0.24000
   10.50000   7.50000   0.26000   0.26000
   28.50000  11.50000   0.28000   0.28000
    8.50000   7.50000   0.28000   0.28000
   47.50000   0.50000   0.31000   0.31000
    4.50000  37.50000   0.32000   0.32000
   14.50000  21.50000   0.33000   0.33000
   22.50000  48.50000   0.34000   0.34000
   18.50000   6.50000   0.34000   0.34000
    3.50000  38.50000   0.34000   0.34000
   11.50000  46.50000   0.40000   0.40000
   31.50000  26.50000   0.45000   0.45000
   14.50000  29.50000   0.46000   0.46000
   14.50000  43.50000   0.51000   0.51000
   38.50000  28.50000   0.57000   0.57000
   45.50000  14.50000   0.62000   0.62000
    4.50000  30.50000   0.65000   0.65000
    6.50000  41.50000   0.67000   0.67000
    7.50000  12.50000   0.71000   0.71000
   26.50000  23.50000   0.79000   0.79000
    8.50000  45.50000   0.81000   0.81000
   14.50000  46.50000   0.83000   0.83000
   13.50000  24.50000   0.84000   0.84000
   26.50000   1.50000   0.89000   0.89000
   33.50000   7.50000   0.92000   0.92000
   45.50000  22.50000   0.93000   0.93000
   48.50000  25.50000   0.94000   0.94000
   35.50000  10.50000   0.96000   0.96000
   34.50000  14.50000   0.99000   0.99000
   13.50000  39.50000   0.99000   0.99000
    7.50000  18.50000   1.01000   1.01000
   15.50000  27.50000   1.02000   1.02000
    3.50000  33.50000   1.10000   1.10000
   11.50000  15.50000   1.11000   1.11000
   22.50000  30.50000   1.21000   1.21000
